TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,fp8,tensorwise,PASS,8.90,865.10,17.89,860.19
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,fp8,tensorwise,PASS,0.56,733.79,1.22,678.23
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,fp8,tensorwise,PASS,0.40,693.14,0.77,712.47
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,fp8,tensorwise,PASS,2.20,873.88,4.95,777.25
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,fp8,tensorwise,PASS,1.28,749.02,2.41,798.73
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,fp8,tensorwise,PASS,1.08,766.16,2.37,696.74
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,fp8,tensorwise,PASS,0.75,733.40,1.51,727.53
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,fp8,tensorwise,PASS,4.26,904.37,9.83,783.33
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,fp8,tensorwise,PASS,2.48,776.56,4.65,826.77
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,fp8,tensorwise,PASS,2.03,811.49,4.68,705.16
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,fp8,tensorwise,PASS,1.40,783.58,2.88,764.15
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,fp8,tensorwise,PASS,8.41,914.99,19.03,808.85
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,fp8,tensorwise,PASS,4.70,818.34,9.51,809.11
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,fp8,tensorwise,PASS,5.96,829.78,11.86,834.26
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,fp8,tensorwise,PASS,5.19,847.95,10.53,835.62
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,fp8,tensorwise,PASS,33.66,849.40,68.02,840.58
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,fp8,tensorwise,PASS,17.67,808.82,33.61,850.47
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,fp8,tensorwise,PASS,11.64,850.15,23.55,840.45
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,fp8,tensorwise,PASS,10.06,874.05,20.71,849.57
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,fp8,tensorwise,PASS,63.59,899.07,129.52,882.88
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,fp8,tensorwise,PASS,32.85,870.12,64.44,887.30
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,fp8,tensorwise,PASS,21.87,905.06,45.02,879.31
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,fp8,tensorwise,PASS,19.32,910.64,39.74,885.31
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,fp8,tensorwise,PASS,121.10,944.28,246.67,927.16
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,fp8,tensorwise,PASS,62.52,914.47,125.48,911.27
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,fp8,tensorwise,PASS,0.36,741.99,0.77,699.36
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,fp8,tensorwise,PASS,0.34,617.70,0.67,632.67
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,fp8,tensorwise,PASS,2.56,867.72,5.80,766.86
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,fp8,tensorwise,PASS,1.61,689.81,2.86,777.76
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,fp8,tensorwise,PASS,0.69,781.35,1.40,775.33
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,fp8,tensorwise,PASS,0.56,755.54,1.20,704.10
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,fp8,tensorwise,PASS,4.94,899.88,10.76,827.03
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,fp8,tensorwise,PASS,2.81,791.45,5.71,778.85
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,fp8,tensorwise,PASS,1.37,790.38,2.79,776.59
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,fp8,tensorwise,PASS,1.10,764.65,2.36,713.86
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,fp8,tensorwise,PASS,9.66,921.09,21.26,837.36
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,fp8,tensorwise,PASS,5.53,804.57,11.59,768.05
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,fp8,tensorwise,PASS,1.69,811.03,3.42,804.04
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,fp8,tensorwise,PASS,1.39,791.63,2.79,788.08
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,fp8,tensorwise,PASS,9.17,865.37,19.44,816.67
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,fp8,tensorwise,PASS,5.00,793.90,9.70,817.84
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,fp8,tensorwise,PASS,3.10,886.42,6.62,830.27
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,fp8,tensorwise,PASS,2.49,883.69,5.28,832.54
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,fp8,tensorwise,PASS,17.74,894.69,36.19,877.38
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,fp8,tensorwise,PASS,9.05,877.48,18.97,836.84
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,fp8,tensorwise,PASS,5.91,930.16,13.61,807.81
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,fp8,tensorwise,PASS,4.88,901.20,10.83,812.41
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,fp8,tensorwise,PASS,34.47,920.96,70.32,902.94
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,fp8,tensorwise,PASS,18.22,871.32,37.19,853.69
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,fp8,tensorwise,PASS,0.37,561.99,0.66,622.22
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,fp8,tensorwise,PASS,0.22,613.72,0.43,644.41
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,fp8,tensorwise,PASS,1.21,797.00,2.59,741.48
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,fp8,tensorwise,PASS,0.68,711.37,1.30,742.29
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,fp8,tensorwise,PASS,0.56,736.49,1.21,682.18
78,ROCm,MI300X,Mistral-7B,2,8192,4096,4096,fp8,tensorwise,PASS,0.40,690.23,0.77,711.30
79,ROCm,MI300X,Mistral-7B,2,8192,28672,4096,fp8,tensorwise,PASS,2.18,880.84,4.93,780.18
80,ROCm,MI300X,Mistral-7B,2,8192,4096,14336,fp8,tensorwise,PASS,1.27,756.13,2.39,803.42
81,ROCm,MI300X,Mistral-7B,4,16384,6144,4096,fp8,tensorwise,PASS,1.07,767.18,2.36,699.37
82,ROCm,MI300X,Mistral-7B,4,16384,4096,4096,fp8,tensorwise,PASS,0.75,736.48,1.51,730.14
83,ROCm,MI300X,Mistral-7B,4,16384,28672,4096,fp8,tensorwise,PASS,4.23,908.87,9.76,788.53
84,ROCm,MI300X,Mistral-7B,4,16384,4096,14336,fp8,tensorwise,PASS,2.47,780.17,4.64,829.46
