TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
20,ROCm,MI355X,Llama-2-70B,2,8192,8192,28672,fp8,blockwise,PASS,3.23,1189.91,7.33,1050.61
21,ROCm,MI355X,Llama-2-70B,4,16384,10240,8192,fp8,blockwise,PASS,1.93,1422.20,5.31,1035.89
22,ROCm,MI355X,Llama-2-70B,4,16384,8192,8192,fp8,blockwise,PASS,1.80,1219.93,4.27,1030.59
23,ROCm,MI355X,Llama-2-70B,4,16384,57344,8192,fp8,blockwise,PASS,11.17,1378.52,28.47,1081.28
24,ROCm,MI355X,Llama-2-70B,4,16384,8192,28672,fp8,blockwise,PASS,6.28,1226.03,14.40,1069.32
25,ROCm,MI355X,Llama-3.1-8B,1,8192,6144,4096,fp8,blockwise,PASS,0.32,1301.48,0.92,891.59
26,ROCm,MI355X,Llama-3.1-8B,1,8192,4096,4096,fp8,blockwise,PASS,0.22,1264.45,0.66,834.52
27,ROCm,MI355X,Llama-3.1-8B,1,8192,28672,4096,fp8,blockwise,PASS,1.37,1409.24,3.95,973.63
28,ROCm,MI355X,Llama-3.1-8B,1,8192,4096,14336,fp8,blockwise,PASS,0.81,1189.43,2.05,938.46
29,ROCm,MI355X,Llama-3.1-8B,2,16384,6144,4096,fp8,blockwise,PASS,0.61,1357.79,1.76,936.29
30,ROCm,MI355X,Llama-3.1-8B,2,16384,4096,4096,fp8,blockwise,PASS,0.42,1301.51,1.25,876.90
31,ROCm,MI355X,Llama-3.1-8B,2,16384,28672,4096,fp8,blockwise,PASS,2.57,1500.14,7.46,1031.72
32,ROCm,MI355X,Llama-3.1-8B,2,16384,4096,14336,fp8,blockwise,PASS,1.64,1171.16,3.94,977.37
33,ROCm,MI355X,Llama-3.1-8B,4,32768,6144,4096,fp8,blockwise,PASS,1.25,1317.74,3.56,927.59
34,ROCm,MI355X,Llama-3.1-8B,4,32768,4096,4096,fp8,blockwise,PASS,0.96,1143.37,2.50,881.34
35,ROCm,MI355X,Llama-3.1-8B,4,32768,28672,4096,fp8,blockwise,PASS,5.09,1511.56,14.84,1037.17
36,ROCm,MI355X,Llama-3.1-8B,4,32768,4096,14336,fp8,blockwise,PASS,3.19,1208.22,7.89,974.91
37,ROCm,MI355X,Llama-3.1-405B,1,8192,18432,16384,fp8,blockwise,PASS,3.72,1330.19,9.00,1099.42
38,ROCm,MI355X,Llama-3.1-405B,1,8192,16384,16384,fp8,blockwise,PASS,3.30,1332.87,7.99,1100.60
39,ROCm,MI355X,Llama-3.1-405B,1,8192,106496,16384,fp8,blockwise,PASS,20.52,1393.27,51.65,1106.86
40,ROCm,MI355X,Llama-3.1-405B,1,8192,16384,53248,fp8,blockwise,PASS,11.14,1283.54,25.46,1122.84
41,ROCm,MI355X,Llama-3.1-405B,2,16384,18432,16384,fp8,blockwise,PASS,7.19,1375.71,18.01,1098.69
42,ROCm,MI355X,Llama-3.1-405B,2,16384,16384,16384,fp8,blockwise,PASS,6.74,1305.00,15.97,1101.48
43,ROCm,MI355X,Llama-3.1-405B,2,16384,106496,16384,fp8,blockwise,PASS,39.71,1439.96,101.27,1129.14
44,ROCm,MI355X,Llama-3.1-405B,2,16384,16384,53248,fp8,blockwise,PASS,22.21,1286.96,50.99,1121.34
45,ROCm,MI355X,Llama-3.1-405B,4,32768,18432,16384,fp8,blockwise,PASS,14.56,1359.69,36.44,1086.16
46,ROCm,MI355X,Llama-3.1-405B,4,32768,16384,16384,fp8,blockwise,PASS,13.22,1331.13,32.44,1084.73
47,ROCm,MI355X,Llama-3.1-405B,4,32768,106496,16384,fp8,blockwise,PASS,78.04,1465.25,208.92,1094.66
48,ROCm,MI355X,Llama-3.1-405B,4,32768,16384,53248,fp8,blockwise,PASS,43.79,1305.79,104.38,1095.51
49,ROCm,MI355X,Qwen2.5-7B,1,8192,4608,3584,fp8,blockwise,PASS,0.24,1145.59,0.65,838.40
50,ROCm,MI355X,Qwen2.5-7B,1,8192,3584,3584,fp8,blockwise,PASS,0.20,1066.62,0.56,753.81
51,ROCm,MI355X,Qwen2.5-7B,1,8192,37888,3584,fp8,blockwise,PASS,1.61,1385.38,4.93,902.52
52,ROCm,MI355X,Qwen2.5-7B,1,8192,3584,18944,fp8,blockwise,PASS,1.01,1101.56,2.47,901.76
53,ROCm,MI355X,Qwen2.5-7B,2,16384,4608,3584,fp8,blockwise,PASS,0.41,1306.59,1.29,839.15
54,ROCm,MI355X,Qwen2.5-7B,2,16384,3584,3584,fp8,blockwise,PASS,0.34,1251.66,1.10,768.72
55,ROCm,MI355X,Qwen2.5-7B,2,16384,37888,3584,fp8,blockwise,PASS,3.16,1406.23,9.09,979.49
56,ROCm,MI355X,Qwen2.5-7B,2,16384,3584,18944,fp8,blockwise,PASS,1.82,1223.45,4.75,935.90
57,ROCm,MI355X,Qwen2.5-7B,4,32768,4608,3584,fp8,blockwise,PASS,0.94,1154.27,2.53,854.54
58,ROCm,MI355X,Qwen2.5-7B,4,32768,3584,3584,fp8,blockwise,PASS,0.69,1214.87,2.22,758.32
59,ROCm,MI355X,Qwen2.5-7B,4,32768,37888,3584,fp8,blockwise,PASS,6.32,1409.10,18.15,980.74
60,ROCm,MI355X,Qwen2.5-7B,4,32768,3584,18944,fp8,blockwise,PASS,3.43,1298.84,9.71,916.87
61,ROCm,MI355X,Qwen2.5-72B,1,8192,10240,8192,fp8,blockwise,PASS,0.96,1432.14,2.70,1019.75
62,ROCm,MI355X,Qwen2.5-72B,1,8192,8192,8192,fp8,blockwise,PASS,0.83,1319.45,2.17,1012.86
63,ROCm,MI355X,Qwen2.5-72B,1,8192,59136,8192,fp8,blockwise,PASS,6.12,1296.21,15.22,1042.77
64,ROCm,MI355X,Qwen2.5-72B,1,8192,8192,29568,fp8,blockwise,PASS,3.32,1194.92,7.67,1035.05
65,ROCm,MI355X,Qwen2.5-72B,2,16384,10240,8192,fp8,blockwise,PASS,1.92,1433.18,5.24,1048.78
66,ROCm,MI355X,Qwen2.5-72B,2,16384,8192,8192,fp8,blockwise,PASS,1.76,1246.12,4.25,1033.81
67,ROCm,MI355X,Qwen2.5-72B,2,16384,59136,8192,fp8,blockwise,PASS,11.93,1330.99,29.83,1064.39
68,ROCm,MI355X,Qwen2.5-72B,2,16384,8192,29568,fp8,blockwise,PASS,6.52,1218.09,15.46,1027.08
69,ROCm,MI355X,Qwen2.5-72B,4,32768,10240,8192,fp8,blockwise,PASS,3.75,1464.59,10.61,1036.77
70,ROCm,MI355X,Qwen2.5-72B,4,32768,8192,8192,fp8,blockwise,PASS,3.49,1259.38,8.71,1010.21
71,ROCm,MI355X,Qwen2.5-72B,4,32768,59136,8192,fp8,blockwise,PASS,22.75,1395.69,60.70,1046.06
72,ROCm,MI355X,Qwen2.5-72B,4,32768,8192,29568,fp8,blockwise,PASS,12.83,1237.19,31.08,1021.39
73,ROCm,MI355X,Mistral-7B,1,4096,6144,4096,fp8,blockwise,PASS,0.17,1181.01,0.46,900.47
74,ROCm,MI355X,Mistral-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.17,795.67,0.32,846.52
75,ROCm,MI355X,Mistral-7B,1,4096,28672,4096,fp8,blockwise,PASS,0.72,1330.98,2.01,958.71
76,ROCm,MI355X,Mistral-7B,1,4096,4096,14336,fp8,blockwise,PASS,0.38,1256.73,1.10,878.54
77,ROCm,MI355X,Mistral-7B,2,8192,6144,4096,fp8,blockwise,PASS,0.31,1329.04,0.89,929.67
78,ROCm,MI355X,Mistral-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.21,1283.38,0.61,906.65
79,ROCm,MI355X,Mistral-7B,2,8192,28672,4096,fp8,blockwise,PASS,1.34,1436.37,3.83,1003.73
80,ROCm,MI355X,Mistral-7B,2,8192,4096,14336,fp8,blockwise,PASS,0.81,1189.00,2.05,938.95
81,ROCm,MI355X,Mistral-7B,4,16384,6144,4096,fp8,blockwise,PASS,0.61,1357.03,1.76,935.84
82,ROCm,MI355X,Mistral-7B,4,16384,4096,4096,fp8,blockwise,PASS,0.42,1305.75,1.25,876.58
83,ROCm,MI355X,Mistral-7B,4,16384,28672,4096,fp8,blockwise,PASS,2.56,1501.26,7.46,1032.22
84,ROCm,MI355X,Mistral-7B,4,16384,4096,14336,fp8,blockwise,PASS,1.64,1171.63,3.93,979.22
