TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
71,ROCm,MI300X,DeepSeek-V2-GateUP,20,16384,3072,5120,bf16,PASS,20.17,511.13,48.97,420.95
72,ROCm,MI300X,DeepSeek-V2-Down,20,16384,5120,1536,bf16,PASS,10.50,490.71,24.27,424.63
73,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,512,2816,2048,bf16,PASS,0.09,130.40,0.21,113.66
74,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,512,2048,1408,bf16,PASS,0.07,89.96,0.14,84.28
75,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,1024,2816,2048,bf16,PASS,0.10,242.61,0.25,186.41
76,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,1024,2048,1408,bf16,PASS,0.07,175.22,0.14,169.43
77,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,2048,2816,2048,bf16,PASS,0.12,383.49,0.34,277.06
78,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,2048,2048,1408,bf16,PASS,0.08,294.93,0.18,258.08
79,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,4096,2816,2048,bf16,PASS,0.27,351.05,0.56,338.40
80,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,4096,2048,1408,bf16,PASS,0.11,432.54,0.34,279.37
81,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,8192,2816,2048,bf16,PASS,0.42,452.72,1.04,363.19
82,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,8192,2048,1408,bf16,PASS,0.21,453.28,0.59,322.58
83,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,2,16384,2816,2048,bf16,PASS,0.75,501.55,2.06,366.36
84,ROCm,MI300X,DeepSeek-V2-Lite-Down,2,16384,2048,1408,bf16,PASS,0.41,460.84,1.08,349.32
85,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,512,2816,2048,bf16,PASS,0.10,236.16,0.28,165.99
86,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,512,2048,1408,bf16,PASS,0.07,170.04,0.15,156.78
87,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,1024,2816,2048,bf16,PASS,0.13,367.76,0.39,242.83
88,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,1024,2048,1408,bf16,PASS,0.08,289.66,0.20,232.49
89,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,2048,2816,2048,bf16,PASS,0.28,342.64,0.61,310.86
90,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,2048,2048,1408,bf16,PASS,0.11,428.08,0.38,250.29
91,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,4096,2816,2048,bf16,PASS,0.42,448.14,1.13,333.64
92,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,4096,2048,1408,bf16,PASS,0.21,447.07,0.65,291.77
93,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,8192,2816,2048,bf16,PASS,0.76,495.27,2.20,344.01
94,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,8192,2048,1408,bf16,PASS,0.41,457.28,1.16,324.54
95,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,4,16384,2816,2048,bf16,PASS,1.53,494.06,4.21,359.16
96,ROCm,MI300X,DeepSeek-V2-Lite-Down,4,16384,2048,1408,bf16,PASS,0.79,477.21,2.27,332.40
97,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,512,2816,2048,bf16,PASS,0.14,348.60,0.43,221.40
98,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,512,2048,1408,bf16,PASS,0.09,275.60,0.23,207.73
99,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,1024,2816,2048,bf16,PASS,0.28,338.89,0.61,308.24
100,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,1024,2048,1408,bf16,PASS,0.12,400.30,0.39,242.35
101,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,2048,2816,2048,bf16,PASS,0.42,447.02,1.07,352.48
102,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,2048,2048,1408,bf16,PASS,0.22,421.85,0.63,301.64
103,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,4096,2816,2048,bf16,PASS,0.78,484.88,1.99,380.75
104,ROCm,MI300X,DeepSeek-V2-Lite-Down,8,4096,2048,1408,bf16,PASS,0.42,445.14,1.08,348.57
105,ROCm,MI300X,DeepSeek-V2-Lite-GateUP,8,8192,2816,2048,bf16,PASS,1.53,493.24,3.77,400.75
